model,t_start,t_end,auc,n_entries,n_candidates,entry_rate,p@10,p@20,p@50,p@100
Hidalgo,2000,2005,0.7417970383423351,37539,1058991,0.03544789332487245,0.8,0.75,0.48,0.44
Hidalgo,2005,2010,0.7120264909724696,38072,1058345,0.03597314675271296,0.3,0.3,0.32,0.28
Hidalgo,2010,2015,0.7266189542791984,31145,1058431,0.029425630957521084,0.3,0.4,0.3,0.34
Hidalgo,2015,2020,0.7350444584867095,29839,1063967,0.028045042750386055,0.0,0.1,0.08,0.12
MF-d32,2000,2005,0.7603529168204715,37539,1058991,0.03544789332487245,0.6,0.65,0.62,0.61
MF-d32,2005,2010,0.7259252977890469,38072,1058345,0.03597314675271296,0.4,0.25,0.32,0.34
MF-d32,2010,2015,0.741767252725125,31145,1058431,0.029425630957521084,0.2,0.2,0.32,0.35
MF-d32,2015,2020,0.7504900008023347,29839,1063967,0.028045042750386055,0.1,0.1,0.12,0.2
MF-d64,2000,2005,0.7607824261280712,37539,1058991,0.03544789332487245,0.7,0.85,0.86,0.74
MF-d64,2005,2010,0.7219646106858512,38072,1058345,0.03597314675271296,0.3,0.4,0.36,0.33
MF-d64,2010,2015,0.7380367842684892,31145,1058431,0.029425630957521084,0.3,0.35,0.34,0.3
MF-d64,2015,2020,0.7461215082347612,29839,1063967,0.028045042750386055,0.1,0.05,0.12,0.13
MF-d128,2000,2005,0.76683229340688,37539,1058991,0.03544789332487245,1.0,0.95,0.84,0.69
MF-d128,2005,2010,0.7183836379571588,38072,1058345,0.03597314675271296,0.2,0.4,0.38,0.37
MF-d128,2010,2015,0.734210493401747,31145,1058431,0.029425630957521084,0.2,0.35,0.3,0.29
MF-d128,2015,2020,0.7422504709992975,29839,1063967,0.028045042750386055,0.0,0.05,0.06,0.13
node2vec-d64,2000,2005,0.7071662093642745,37539,1058991,0.03544789332487245,0.0,0.0,0.04,0.1
node2vec-d64,2005,2010,0.685635773360032,38072,1058345,0.03597314675271296,0.2,0.2,0.16,0.12
node2vec-d64,2010,2015,0.7003601867461776,31145,1058431,0.029425630957521084,0.0,0.0,0.08,0.07
node2vec-d64,2015,2020,0.7082912330872873,29839,1063967,0.028045042750386055,0.0,0.0,0.1,0.09
Random,2000,2005,0.5011000006704832,37539,1058991,0.03544789332487245,0.1,0.05,0.02,0.04
Random,2005,2010,0.4990645512921872,38072,1058345,0.03597314675271296,0.0,0.0,0.04,0.04
Random,2010,2015,0.5001266707137944,31145,1058431,0.029425630957521084,0.0,0.0,0.0,0.01
Random,2015,2020,0.5007872000229254,29839,1063967,0.028045042750386055,0.0,0.0,0.02,0.02
